sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 2,41,,uşbu,this in particular,мынау,этот самый,ushbu,bu,uşbu,chg,word,1,اوشبو
Ch 2,42,,uşol,just that,анау,именно тот,o‘shal,o,uşol,chg,word,1,اوشول
Ch 2,43,,uşol,that in particular,анау,тот самый,o‘shal,o,uşol,chg,word,1,اوشول
Ch 2,44,,bir,one,бір,один,bir,bir,bir,chg,word,1,بر
Ch 2,45,,bir,a,бір,некий,bir,bir,bir,chg,word,1,بر
Ch 2,53,,cānwār,an animal,жануар,животное,jonivor,hayvan,cānwār,chg,word,1,جانور
Ch 2,55,,yolda,on the road,жолда,на дороге,yo‘lda,yolda,yolda,chg,word,1,يولدە
Ch 2,74,,yoq,there is no,жоқ,нет,yo‘q,yok,yoq,chg,word,1,يوق
Ch 2,75,,ol,that,ол,тот,ul,o,ol,chg,word,1,اول
Ch 2,76,,şu,this,осы,этот,shu,şu,şu,chg,word,1,شو
Ch 2,77,,şol,this,сол,тот,shul,şu,şol,chg,word,1,شول
Ch 2,78,,bir,one,бір,один,bir,bir,bir,chg,word,1,بر
Ch 2,79,,kişi,person,кісі,человек,kishi,kişi,kişi,chg,word,1,کيشي
Ch 2,80,,dost,friend,дос,друг,do‘st,dost,dost,chg,word,1,دوست
Ch 2,81,,érkek,male,еркек,самец,erkak,erkek,érkek,chg,word,1,ايرکک
Ch 2,82,,érkek,male person,еркек,мужчина,erkak,erkek kişi,érkek,chg,word,1,ايرکک
Ch 2,83,,érkek,male animal,еркек,самец животного,erkak,erkek hayvan,érkek,chg,word,1,ايرکک
Ch 2,84,,ér,man,ер,мужчина,er,er,ér,chg,word,1,اير
Ch 2,85,,ér,husband,ер,муж,er,koca,ér,chg,word,1,اير
Ch 2,86,,cānwār,animal,жануар,животное,jonivor,hayvan,cānwār,chg,word,1,جانور
Ch 2,87,,kiçik,small,кішкентай,маленький,kichik,küçük,kiçik,chg,word,1,کچيک
Ch 2,88,,mākiyān,hen,тауық,курица,makiyon,tavuk,mākiyān,chg,word,1,مکيان
Ch 2,89,,maẓlūm,woman,әйел,женщина,ayol,kadın,maẓlūm,chg,word,1,مظلوم
Ch 2,90,,kitāb,book,кітап,книга,kitob,kitap,kitāb,chg,word,1,کتاب
Ch 2,91,,bar,there is,бар,есть,bor,var,bar,chg,word,1,بار
Ch 2,92,,bu,this,бұл,этот,bu,bu,bu,chg,word,1,بو
Ch 2,93,,uşbu,this,мына,этот,ushbu,bu,uşbu,chg,word,1,اوشبو
Ch 2,94,,tişi,female,ұрғашы,самка,tishi,dişi,tişi,chg,word,1,تيشي
Ch 2,95,,tişi,female animal,ұрғашы,самка животного,tishi,dişi hayvan,tişi,chg,word,1,تيشي
Ch 2,96,,ādam,man,адам,человек,odam,adam,ādam,chg,word,1,آدم
Ch 2,97,,ādam,person,адам,персона,odam,kişi,ādam,chg,word,1,آدم
Ch 2,98,,bala,child,бала,ребенок,bola,çocuk,bala,chg,word,1,بلا
Ch 2,99,,buqa,bull,бұқа,бык,buqa,boğa,buqa,chg,word,1,بوقا
Ch 2,100,,ḫorus,rooster,қораз,петух,xo‘roz,horoz,ḫorus,chg,word,1,خروس
Ch 2,101,,ḫoraz,rooster,қораз,петух,xo‘roz,horoz,ḫoraz,chg,word,1,خوراز
Ch 2,102,,inek,cow,сиыр,корова,sigir,inek,inek,chg,word,1,اينک
Ch 2,103,,çoñ,large,үлкен,большой,cho‘ng,büyük,çoñ,chg,word,1,چونک
Ch 2,104,,üy,house,үй,дом,uy,ev,üy,chg,word,1,اوى
Ch 2,105,,üy,room,үй,комната,uy,oda,üy,chg,word,1,اوى
Ch 2,106,,yer,place,жер,место,yer,yer,yer,chg,word,1,ير
Ch 2,107,,Toḫta,Toḫta,Тоқта,Тохта,To‘xta,Tohta,Toḫta,chg,word,1,توختە
Ch 2,108,,qozı,lamb,қозы,ягненок,qo‘zi,kuzu,qozı,chg,word,1,قوزى
Ch 3,0,بلالار,balalar,children,балалар,дети,bolalar,çocuklar,balalar,chg,word,1,
Ch 3,1,بلا,bala,child,бала,ребенок,bola,çocuk,bala,chg,word,1,
Ch 3,2,يول لار,yollar,roads,жолдар,дороги,yo'llar,yollar,yollar,chg,word,1,
Ch 3,3,يول,yol,road,жол,дорога,yo'l,yol,yol,chg,word,1,
Ch 3,4,سوزلار,sözler,words,сөздер,слова,so'zlar,sözler,sözler,chg,word,1,
Ch 3,5,سوز,söz,word,сөз,слово,so'z,söz,söz,chg,word,1,
Ch 3,6,ايشاک لار,éşekler,donkeys,есектер,ослы,eshaklar,eşekler,éşekler,chg,word,1,
Ch 3,7,ايشاک,éşek,donkey,есек,осел,eshak,eşek,éşek,chg,word,1,
Ch 3,8,مظلوم لار,maẓlūmlar,women,әйелдер,женщины,ayollar,kadınlar,maẓlūmlar,chg,word,1,
Ch 3,9,دروازە لار,darwāzalar,gates,дарбазалар,ворота,darvozalar,kapılar,darwāzalar,chg,word,1,
Ch 3,10,باشتە,başta,on the head,баста,на голове,boshda,başta,başta,chg,word,1,
Ch 3,11,اولتورادور,olturadur,he sits,отыр,сидит,o'tiribdi,oturuyor,olturadur,chg,word,1,
Ch 3,12,اولتورادور,olturadur,she sits,отыр,сидит,o'tiribdi,oturuyor,olturadur,chg,word,1,
Ch 3,13,اولتورادور,olturadur,it sits,отыр,сидит,o'tiribdi,oturuyor,olturadur,chg,word,1,
Ch 3,16,بازاردين,bazardın,from the market,базардан,с рынка,bozordan,pazardan,bazardın,chg,word,1,
Ch 3,17,ايرکک تين,érkektin,from a man,еркектен,от мужчины,erkakdan,erkekten,érkektin,chg,word,1,
Ch 3,18,کلادور,keledür,he comes,келеді,он приходит,keladi,geliyor,keledür,chg,word,1,
Ch 3,19,کلادور,keledür,she comes,келеді,она приходит,keladi,geliyor,keledür,chg,word,1,
Ch 3,20,کلادور,keledür,it comes,келеді,оно приходит,keladi,geliyor,keledür,chg,word,1,
Ch 3,28,مکيان غە,mākiyānǧa,to the chicken,тауыққа,курице,tovuqqa,tavuğa,mākiyānǧa,chg,word,1,
Ch 3,29,ايشک کە,éşekke,for the donkey,есекке,ослу,eshakka,eşeğe,éşekke,chg,word,1,
Ch 3,30,دوست قە,dostqa,to a friend,досқа,другу,do'stga,dosta,dostqa,chg,word,1,
Ch 3,31,برادور,beredür,he gives,береді,дает,beradi,veriyor,beredür,chg,word,1,
Ch 3,32,برادور,beredür,she gives,береді,дает,beradi,veriyor,beredür,chg,word,1,
Ch 3,33,برادور,beredür,it gives,береді,дает,beradi,veriyor,beredür,chg,word,1,
Ch 3,38,سويادور,soyadur,he slaughters,сояды,режет,soyadi,kesiyor,soyadur,chg,word,1,
Ch 3,39,سويادور,soyadur,she slaughters,сояды,режет,soyadi,kesiyor,soyadur,chg,word,1,
Ch 3,40,سويادور,soyadur,it slaughters,сояды,режет,soyadi,kesiyor,soyadur,chg,word,1,
Ch 3,48,يول لار,yollar,roads,жолдар,дороги,yo'llar,yollar,yollar,chg,word,1,
Ch 3,49,يول,yol,road,жол,дорога,yo'l,yol,yol,chg,word,1,
Ch 3,50,يول لاردە,yollarda,on the roads,жолдарда,на дорогах,yo'llarda,yollarda,yollarda,chg,word,1,
Ch 3,51,يولدە,yolda,on a road,жолда,на дороге,yo'lda,yolda,yolda,chg,word,1,
Ch 3,52,يولدە,yolda,on the road,жолда,на дороге,yo'lda,yolda,yolda,chg,word,1,
Ch 3,53,يول لاردين,yollardın,from the roads,жолдардан,с дорог,yo'llardan,yollardan,yollardın,chg,word,1,
Ch 3,54,يولدين,yoldın,from a road,жолдан,с дороги,yo'ldan,yoldan,yoldın,chg,word,1,
Ch 3,55,يولدين,yoldın,from the road,жолдан,с дороги,yo'ldan,yoldan,yoldın,chg,word,1,
Ch 3,56,يول لارغە,yollarǧa,to the roads,жолдарға,к дорогам,yo'llarga,yollara,yollarǧa,chg,word,1,
Ch 3,57,يولغە,yolǧa,to a road,жолға,к дороге,yo'lga,yola,yolǧa,chg,word,1,
Ch 3,58,يولغە,yolǧa,to the road,жолға,к дороге,yo'lga,yola,yolǧa,chg,word,1,
Ch 3,59,يول لارنى,yollarnı,the roads,жолдарды,дороги,yo'llarni,yolları,yollarnı,chg,word,1,
Ch 3,60,يول نى,yolnı,the road,жолды,дорогу,yo'lni,yolu,yolnı,chg,word,1,
Ch 3,61,يول لارنينک,yollarnıñ,the road’s,жолдардың,дорог,yo'llarning,yolların,yollarnıñ,chg,word,1,
Ch 3,62,يول نينک,yolnıñ,a road's,жолдың,дороги,yo'lning,yolun,yolnıñ,chg,word,1,
Ch 3,63,يول نينک,yolnıñ,the road's,жолдың,дороги,yo'lning,yolun,yolnıñ,chg,word,1,
Ch 3,64,سوزلار,sözler,words,сөздер,слова,so'zlar,sözler,sözler,chg,word,1,
Ch 3,65,سوز,söz,word,сөз,слово,so'z,söz,söz,chg,word,1,
Ch 3,66,سوزلاردە,sözlerde,on the words,сөздерде,в словах,so'zlarda,sözlerde,sözlerde,chg,word,1,
Ch 3,67,سوزدە,sözde,in a word,сөзде,в слове,so'zda,sözde,sözde,chg,word,1,
Ch 3,68,سوزدە,sözde,in the word,сөзде,в слове,so'zda,sözde,sözde,chg,word,1,
Ch 3,69,سوزلاردين,sözlérdin,from the words,сөздерден,от слов,so'zlardan,sözlerden,sözlérdin,chg,word,1,
Ch 3,70,سوزدين,sözdin,from a word,сөзден,от слова,so'zdan,sözden,sözdin,chg,word,1,
Ch 3,71,سوزدين,sözdin,from the word,сөзден,от слова,so'zdan,sözden,sözdin,chg,word,1,
Ch 3,72,سوزلارکە,sözlerge,to the words,сөздерге,к словам,so'zlarga,sözlere,sözlerge,chg,word,1,
Ch 3,73,سوزکە,sözge,to a word,сөзге,к слову,so'zga,söze,sözge,chg,word,1,
Ch 3,74,سوزکە,sözge,to the word,сөзге,к слову,so'zga,söze,sözge,chg,word,1,
Ch 3,75,سوزلارنى,sözlerni,the words,сөздерді,слова,so'zlarni,sözleri,sözlerni,chg,word,1,
Ch 3,76,سوزنى,sözni,the word,сөзді,слово,so'zni,sözü,sözni,chg,word,1,
Ch 3,77,سوزلارنينک,sözlerniñ,the word's,сөздердің,слов,so'zlarning,sözlerin,sözlerniñ,chg,word,1,
Ch 3,78,سوزنينک,sözniñ,a word's,сөздің,слова,so'zning,sözün,sözniñ,chg,word,1,
Ch 3,79,سوزنينک,sözniñ,the word's,сөздің,слова,so'zning,sözün,sözniñ,chg,word,1,
Ch 3,80,اوتون,otun,firewood,отын,дрова,o'tin,odun,otun,chg,word,1,
Ch 3,81,دروازە,darwāza,gate,дарбаза,ворота,darvoza,kapı,darwāza,chg,word,1,
Ch 3,82,کول,köl,lake,көл,озеро,ko'l,göl,köl,chg,word,1,
Ch 3,83,سو,suw,water,су,вода,suv,su,suw,chg,word,1,
Ch 3,84,پيغمبر,payǧambar,prophet,пайғамбар,пророк,payg'ambar,peygamber,payǧambar,chg,word,1,
Ch 3,85,بزار,bazār,market,базар,базар,bozor,pazar,bazār,chg,word,1,
Ch 3,86,بر,ber,to give,бер,дай,ber,ver,ber,chg,word,1,
Ch 3,87,بر,ber,to give,бер,дай,ber,ver,ber,chg,word,1,
Ch 3,88,سوى,soy,to slaughter,сой,режь,soy,kes,soy,chg,word,1,
Ch 3,89,سوز,söz,word,сөз,слово,so'z,söz,söz,chg,word,1,
Ch 3,90,عربستان,ʿArabistān,Arabia,Арабия,Аравия,Arabiston,Arabistan,ʿArabistān,chg,word,1,
Ch 3,91,اولتور,oltur,to sit,отыр,сиди,o'tir,otur,oltur,chg,word,1,
Ch 3,92,آط,aṭ,horse,ат,лошадь,ot,at,aṭ,chg,word,1,
Ch 3,93,ايت,it,dog,ит,собака,it,it,it,chg,word,1,
Ch 3,94,پادشاە,pādişāh,king,патша,царь,podshoh,padişah,pādişāh,chg,word,1,
Ch 3,95,پادشاە,pādişāh,ruler,патша,правитель,podshoh,hükümdar,pādişāh,chg,word,1,
Ch 3,96,پادشاە,pādişāh,emperor,патша,император,podshoh,imparator,pādişāh,chg,word,1,
Ch 3,97,کسل,kesel,sick,науқас,больной,kasal,hasta,kesel,chg,word,1,
Ch 3,98,کسل,kesel,sickness,ауру,болезнь,kasallik,hastalık,kesel,chg,word,1,
Ch 3,99,يمان,yaman,bad,жаман,плохой,yomon,kötü,yaman,chg,word,1,
Ch 3,100,يمان,yaman,evil,жаман,зло,yomonlik,kötü,yaman,chg,word,1,
Ch 3,101,تار,tar,narrow,тар,узкий,tor,dar,tar,chg,word,1,
Ch 3,102,ايشاک,éşek,donkey,есек,осел,eshak,eşek,éşek,chg,word,1,
Ch 3,103,الديدا,aldıda,in front of,алдында,спереди,oldida,önünde,aldıda,chg,word,1,
Ch 3,104,ايچ,iç,to drink,іш,пей,ich,iç,iç,chg,word,1,
Ch 3,105,قوى,qoy,sheep,қой,овца,qo'y,koyun,qoy,chg,word,1,
Ch 3,106,کل,kel,to come,кел,приходи,kel,gel,kel,chg,word,1,
Ch 3,107,کل,kel,to come,кел,приходи,kel,gel,kel,chg,word,1,
Ch 3,108,ال,al,to take,ал,бери,ol,al,al,chg,word,1,
Ch 3,109,ال,al,to get,ал,получай,ol,al,al,chg,word,1,
Ch 3,110,يول,yol,road,жол,дорога,yo'l,yol,yol,chg,word,1,
Ch 3,111,باى,bay,wealthy person,бай,богач,boy,zengin,bay,chg,word,1,
Ch 3,112,توطی,toṭı,pony,тоты,попугай,to'ti,papağan,toṭı,chg,word,1,
Ch 3,113,اوت,ot,grass,шөп,трава,o't,ot,ot,chg,word,1,
Ch 3,114,اوت,ot,hay,шөп,сено,pichan,kuru ot,ot,chg,word,1,
Ch 3,115,بوغاز,boǧaz,fodder,жем,корм,yem,yem,boǧaz,chg,word,1,
Ch 3,116,بوغاز,boǧaz,corn,жем,зерно,don,tahıl,boǧaz,chg,word,1,
Ch 3,117,روسيە,Rūsiya,Russia,Ресей,Россия,Rossiya,Rusya,Rūsiya,chg,word,1,
Ch 4,10,من,men,I,мен,я,men,ben,men,chg,word,1,
Ch 4,11,بيز,biz,we,біз,мы,biz,biz,biz,chg,word,1,
Ch 4,12,سيز,siz,you,сіз,вы,siz,siz,siz,chg,word,1,
Ch 4,13,سيزلار,sizler,you,сіздер,вы,sizlar,sizler,sizler,chg,word,1,
Ch 4,14,سن,sen,you,сен,ты,sen,sen,sen,chg,word,1,
Ch 4,15,او,o,he,ол,он,u,o,o,chg,word,1,
Ch 4,16,او,o,she,ол,она,u,o,o,chg,word,1,
Ch 4,17,او,o,it,ол,оно,u,o,o,chg,word,1,
Ch 4,18,اول,ol,he,ол,он,u,o,ol,chg,word,1,
Ch 4,19,اول,ol,she,ол,она,u,o,ol,chg,word,1,
Ch 4,20,اول,ol,it,ол,оно,u,o,ol,chg,word,1,
Ch 4,21,الار,alar,they,олар,они,ular,onlar,alar,chg,word,1,
Ch 4,22,اولار,olar,they,олар,они,ular,onlar,olar,chg,word,1,
Ch 4,23,بيزلار,bizler,we,біздер,мы,bizlar,bizler,bizler,chg,word,1,
Ch 4,60,اتا,ata,father,әке,отец,ota,baba,ata,chg,word,1,
Ch 4,61,انا,ana,mother,ана,мать,ona,anne,ana,chg,word,1,
Ch 4,62,قيز,qız,daughter,қыз,дочь,qiz,kız,qız,chg,word,1,
Ch 4,63,اوغول,oǧul,son,ұл,сын,o'g'il,oğul,oǧul,chg,word,1,
Ch 4,65,ملا,mollā,mullah,молда,мулла,molla,molla,mollā,chg,word,1,
Ch 4,66,کوچا,Kuça,Kucha,Куча,Куча,Kucha,Kuça,Kuça,chg,word,1,
Ch 4,67,دنيا,dünyā,world,дүние,мир,dunyo,dünya,dünyā,chg,word,1,
Ch 4,68,کونکول,köñül,heart,көңіл,сердце,ko'ngil,gönül,köñül,chg,word,1,
Ch 4,69,کونکول,köñül,mind,көңіл,ум,ko'ngil,gönül,köñül,chg,word,1,
Ch 4,71,ايکي,éki,two,екі,два,ikki,iki,éki,chg,word,1,
Ch 4,72,اى,ay,Oh,ей,о,ey,ey,ay,chg,word,1,
Ch 4,73,باليق,balıq,fish,балық,рыба,baliq,balık,balıq,chg,word,1,
Ch 4,75,باغ,bāǧ,garden,бақ,сад,bog',bahçe,bāǧ,chg,word,1,
Ch 4,76,يا,ya,or,немесе,или,yoki,veya,ya,chg,word,1,
Ch 4,77,يا,ya,Oh,уа,о,ey,ey,ya,chg,word,1,
Ch 4,78,کاشغر,Kaşǧar,Kashgar,Қашқар,Кашгар,Qashqar,Kaşgar,Kaşǧar,chg,word,1,
Ch 4,79,خدا,ḫudā,God,Құдай,Бог,Xudo,Allah,ḫudā,chg,word,1,
Ch 4,80,خواجە,ḫᵛāca,khwaja,қожа,ходжа,xo'ja,hoca,ḫᵛāca,chg,word,1,
Ch 4,81,خواجە,ḫᵛāca,khwaja,қожа,ходжа,xo'ja,hoca,ḫᵛāca,chg,word,1,
Ch 4,82,خواجە,ḫᵛāca,Sufi master,қожа,ходжа,xo'ja,hoca,ḫᵛāca,chg,word,1,
Ch 4,84,اوچ,üç,three,үш,три,uch,üç,üç,chg,word,1,
Ch 5,0,قیلامن,qılamen,I do,қыламын,делаю,qilaman,yaparım,qılamen,chg,word,1,
Ch 5,1,خواهلایدور,ḫᵛāhlaydur,She wants it,қалайды,хочет,xohlaydi,ister,ḫᵛāhlaydur,chg,word,1,
Ch 5,2,کوراسیز,köresiz,You see,көресіз,видите,ko'rasiz,görürsünüz,köresiz,chg,word,1,
Ch 5,3,ایستایمیز,isteymiz,We seek,іздейміз,ищем,izlaymiz,ararız,isteymiz,chg,word,1,
Ch 5,4,قیلادور,qıladur,She does,қылады,делает,qiladi,yapar,qıladur,chg,word,1,
Ch 5,5,قیلمايمن,qılmaymen,I do not do it.,қылмаймын,не делаю,qilmayman,yapmam,qılmaymen,chg,word,1,
Ch 5,6,خواهلامايدور,ḫᵛāhlamaydur,He does not want it.,қаламайды,не хочет,xohlamaydi,istemez,ḫᵛāhlamaydur,chg,word,1,
Ch 5,7,کورمای سیز,körmeysiz,You do not see it.,көрмейсіз,не видите,ko'rmaysiz,görmezsiniz,körmeysiz,chg,word,1,
Ch 5,8,ایستامایمیز,istemeymiz,We do not seek.,іздемейміз,не ищем,izlamaymiz,aramayız,istemeymiz,chg,word,1,
Ch 5,9,قیلمايدور,qılmaydur,she does not,қылмайды,не делает,qilmaydi,yapmaz,qılmaydur,chg,word,1,
Ch 5,10,بیلمايدور,bilmeydür,She does not know him.,білмейді,не знает,bilmaydi,bilmez,bilmeydür,chg,word,1,
Ch 5,38,دریا,daryā,river,дария,река,daryo,nehir,daryā,chg,word,1,
Ch 5,39,تاغ,taǧ,mountain,тау,гора,tog',dağ,taǧ,chg,word,1,
Ch 5,40,اوق,oq,arrow,оқ,стрела,o'q,ok,oq,chg,word,1,
Ch 5,41,اوق,oq,bullet,оқ,пуля,o'q,kurşun,oq,chg,word,1,
Ch 5,42,اوق,oq,axle,оқ,ось,o'q,dingil,oq,chg,word,1,
Ch 5,43,ایشیک,éşik,door,есік,дверь,eshik,kapı,éşik,chg,word,1,
Ch 5,44,اما,ammā,but,бірақ,но,ammo,ama,ammā,chg,word,1,
Ch 5,45,شوردریا,şor-daryā,salt sea,тұзды теңіз,соленое море,sho'rdaryo,tuzlu deniz,şor-daryā,chg,word,1,
Ch 5,46,اوزون,uzun,long,ұзын,длинный,uzun,uzun,uzun,chg,word,1,
Ch 5,47,تام,tam,wall,дуал,стена,devor,duvar,tam,chg,word,1,
Ch 5,48,یورت,yurt,country,жұрт,страна,yurt,yurt,yurt,chg,word,1,
Ch 5,49,یورت,yurt,land,жер,земля,yer,yer,yurt,chg,word,1,
Ch 5,50,چول,çöl,desert,шөл,пустыня,cho'l,çöl,çöl,chg,word,1,
Ch 5,51,کنک,keñ,wide,кең,широкий,keng,geniş,keñ,chg,word,1,
Ch 5,52,کنک,keñ,broad,кең,обширный,keng,enli,keñ,chg,word,1,
Ch 5,53,چیق-,çıq-,to enter,кіру,входить,kirmoq,girmek,çıq-,chg,word,1,
Ch 5,54,چیق-,çıq-,to climb,шығу,взбираться,chiqmoq,çıkmak,çıq-,chg,word,1,
Ch 5,55,کور-,kör-,to see,көру,видеть,ko'rmoq,görmek,kör-,chg,word,1,
Ch 5,56,ایستا-,iste-,to seek,іздеу,искать,izlamoq,aramak,iste-,chg,word,1,
Ch 5,57,بار-,bar-,to go,бару,идти,bormoq,gitmek,bar-,chg,word,1,
Ch 5,58,خوتان,Ḫotan,Khotan,Хотан,Хотан,Xo'tan,Hotan,Ḫotan,chg,word,1,
Ch 5,59,هم,häm,also,әрі,также,ham,hem,häm,chg,word,1,
Ch 5,60,تاش,taş,stone,тас,камень,tosh,taş,taş,chg,word,1,
Ch 5,61,درخت,daraḫt,tree,ағаш,дерево,daraxt,ağaç,daraḫt,chg,word,1,
Ch 5,62,قودوق,quduq,well,құдық,колодец,quduq,kuyu,quduq,chg,word,1,
Ch 5,63,قودوق,quduq,well,құдық,скважина,quduq,kuyu,quduq,chg,word,1,
Ch 5,64,یار,yār,friend,дос,друг,do'st,dost,yār,chg,word,1,
Ch 5,65,تولا,tola,many,көп,много,ko'p,çok,tola,chg,word,1,
Ch 5,66,تولا,tola,very,өте,очень,juda,pek,tola,chg,word,1,
Ch 5,67,چوقور,çuqur,deep,терең,глубокий,chuqur,derin,çuqur,chg,word,1,
Ch 5,68,يومولاق,yumulaq,round,домалақ,круглый,yumaloq,yuvarlak,yumulaq,chg,word,1,
Ch 5,69,قسقە,qısqa,short,қысқа,короткий,qisqa,kısa,qısqa,chg,word,1,
Ch 5,70,اوکزە,ögze,roof,шатыр,крыша,tom,çatı,ögze,chg,word,1,
Ch 5,71,اوکزە,ögze,ceiling,төбе,потолок,ship,tavan,ögze,chg,word,1,
Ch 5,72,نمە,neme,what,не,что,nima,ne,neme,chg,word,1,
Ch 5,73,تور-,tur-,to stand,тұру,стоять,turmoq,durmak,tur-,chg,word,1,
Ch 5,74,تور-,tur-,to wait,күту,ждать,kutmoq,beklemek,tur-,chg,word,1,
Ch 5,75,قیل-,qıl-,to do,қылу,делать,qilmoq,yapmak,qıl-,chg,word,1,
