id,sheet,source_text,target_text,source_lang,target_lang,type,length
Ch 1_8_ru,Ch 1,çay tatlıqdur,чай вкусный,chg,ru,phrase,2
Ch 1_8_uz,Ch 1,çay tatlıqdur,choy mazalidir,chg,uz,phrase,2
Ch 1_8_tr,Ch 1,çay tatlıqdur,çay lezzetlidir,chg,tr,phrase,2
Ch 1_9_en,Ch 1,qand wa çay qımmatdur,sugar and tea are expensive,chg,en,phrase,4
Ch 1_9_kk,Ch 1,qand wa çay qımmatdur,қант пен шай қымбат,chg,kk,phrase,4
Ch 1_9_ru,Ch 1,qand wa çay qımmatdur,сахар и чай дорогие,chg,ru,phrase,4
Ch 1_9_uz,Ch 1,qand wa çay qımmatdur,qand va choy qimmatdir,chg,uz,phrase,4
Ch 1_9_tr,Ch 1,qand wa çay qımmatdur,şeker ve çay pahalıdır,chg,tr,phrase,4
Ch 1_11_en,Ch 1,qatıq aq sütdür,yogurt is white milk,chg,en,phrase,3
Ch 1_11_kk,Ch 1,qatıq aq sütdür,қатық – ақ сүт,chg,kk,phrase,3
Ch 1_11_ru,Ch 1,qatıq aq sütdür,йогурт — белое молоко,chg,ru,phrase,3
Ch 1_11_uz,Ch 1,qatıq aq sütdür,qatiq oq sutdir,chg,uz,phrase,3
Ch 1_11_tr,Ch 1,qatıq aq sütdür,yoğurt beyaz süttür,chg,tr,phrase,3
Ch 1_13_en,Ch 1,mı̇̄wa qanddur,fruit is sugar,chg,en,phrase,2
Ch 1_13_kk,Ch 1,mı̇̄wa qanddur,жеміс – қант,chg,kk,phrase,2
Ch 1_13_ru,Ch 1,mı̇̄wa qanddur,фрукт — это сахар,chg,ru,phrase,2
Ch 1_13_uz,Ch 1,mı̇̄wa qanddur,meva qanddir,chg,uz,phrase,2
Ch 1_13_tr,Ch 1,mı̇̄wa qanddur,meyve şekérdir,chg,tr,phrase,2
Ch 1_14_en,Ch 1,emes,is not,chg,en,word,1
Ch 1_14_kk,Ch 1,emes,емес,chg,kk,word,1
Ch 1_14_ru,Ch 1,emes,не,chg,ru,word,1
Ch 1_14_uz,Ch 1,emes,emas,chg,uz,word,1
Ch 1_14_tr,Ch 1,emes,değil,chg,tr,word,1
Ch 1_15_en,Ch 1,emes,are not,chg,en,word,1
Ch 1_16_en,Ch 1,ermes,is not,chg,en,word,1
Ch 1_16_kk,Ch 1,ermes,емес,chg,kk,word,1
Ch 1_16_ru,Ch 1,ermes,не,chg,ru,word,1
Ch 1_16_uz,Ch 1,ermes,emas,chg,uz,word,1
Ch 1_16_tr,Ch 1,ermes,değil,chg,tr,word,1
Ch 1_17_en,Ch 1,ermes,are not,chg,en,word,1
Ch 1_18_en,Ch 1,emesdür,is not,chg,en,word,1
Ch 1_18_kk,Ch 1,emesdür,емес,chg,kk,word,1
Ch 1_18_ru,Ch 1,emesdür,не есть,chg,ru,word,1
Ch 1_18_uz,Ch 1,emesdür,emasdir,chg,uz,word,1
Ch 1_18_tr,Ch 1,emesdür,değildir,chg,tr,word,1
Ch 1_19_en,Ch 1,emesdür,are not,chg,en,word,1
Ch 1_22_en,Ch 1,tuz şı̇̄rı̇̄n emes,salt is not sweet,chg,en,phrase,3
Ch 1_22_kk,Ch 1,tuz şı̇̄rı̇̄n emes,тұз тәтті емес,chg,kk,phrase,3
Ch 1_22_ru,Ch 1,tuz şı̇̄rı̇̄n emes,соль не сладкая,chg,ru,phrase,3
Ch 1_22_uz,Ch 1,tuz şı̇̄rı̇̄n emes,tuz shirin emas,chg,uz,phrase,3
Ch 1_22_tr,Ch 1,tuz şı̇̄rı̇̄n emes,tuz tatlı değil,chg,tr,phrase,3
Ch 1_23_en,Ch 1,muz tatlıq emesdür,ice is not tasty,chg,en,phrase,3
Ch 1_23_kk,Ch 1,muz tatlıq emesdür,мұз дәмді емес,chg,kk,phrase,3
Ch 1_23_ru,Ch 1,muz tatlıq emesdür,лед не вкусный,chg,ru,phrase,3
Ch 1_23_uz,Ch 1,muz tatlıq emesdür,muz mazali emasdir,chg,uz,phrase,3
Ch 1_23_tr,Ch 1,muz tatlıq emesdür,buz lezzetli değildir,chg,tr,phrase,3
Ch 1_24_en,Ch 1,qand arzān emes,sugar is not cheap,chg,en,phrase,3
Ch 1_24_kk,Ch 1,qand arzān emes,қант арзан емес,chg,kk,phrase,3
Ch 1_24_ru,Ch 1,qand arzān emes,сахар не дешевый,chg,ru,phrase,3
Ch 1_24_uz,Ch 1,qand arzān emes,qand arzon emas,chg,uz,phrase,3
Ch 1_24_tr,Ch 1,qand arzān emes,şeker ucuz değil,chg,tr,phrase,3
Ch 1_25_en,Ch 1,çay sawuq emesdür,tea is not cold,chg,en,phrase,3
Ch 1_25_kk,Ch 1,çay sawuq emesdür,шай суық емес,chg,kk,phrase,3
Ch 1_25_ru,Ch 1,çay sawuq emesdür,чай не холодный,chg,ru,phrase,3
Ch 1_25_uz,Ch 1,çay sawuq emesdür,choy sovuq emasdir,chg,uz,phrase,3
Ch 1_25_tr,Ch 1,çay sawuq emesdür,çay soğuk değildir,chg,tr,phrase,3
Ch 1_27_en,Ch 1,şorpa göşt wa tuz emesdür,soup is not meat and salt,chg,en,sentence,5
Ch 1_27_kk,Ch 1,şorpa göşt wa tuz emesdür,сорпа ет пен тұз емес,chg,kk,sentence,5
Ch 1_27_ru,Ch 1,şorpa göşt wa tuz emesdür,суп — не мясо и соль,chg,ru,sentence,5
Ch 1_27_uz,Ch 1,şorpa göşt wa tuz emesdür,sho'rva go'sht va tuz emasdir,chg,uz,sentence,5
Ch 1_27_tr,Ch 1,şorpa göşt wa tuz emesdür,çorba et ve tuz değildir,chg,tr,sentence,5
Ch 1_28_en,Ch 1,qızıl göşt aş emesdür,red meat is not rice,chg,en,phrase,4
Ch 1_28_kk,Ch 1,qızıl göşt aş emesdür,қызыл ет күріш емес,chg,kk,phrase,4
Ch 1_28_ru,Ch 1,qızıl göşt aş emesdür,красное мясо — не рис,chg,ru,phrase,4
Ch 1_28_uz,Ch 1,qızıl göşt aş emesdür,qizil go'sht guruch emasdir,chg,uz,phrase,4
Ch 1_28_tr,Ch 1,qızıl göşt aş emesdür,kırmızı et pirinç değildir,chg,tr,phrase,4
Ch 1_29_en,Ch 1,dārū arzān emes qımmatdur,medicine is not cheap it is expensive,chg,en,phrase,4
Ch 1_29_kk,Ch 1,dārū arzān emes qımmatdur,"дәрі арзан емес, қымбат",chg,kk,phrase,4
Ch 1_29_ru,Ch 1,dārū arzān emes qımmatdur,"лекарство не дешевое, оно дорогое",chg,ru,phrase,4
Ch 1_29_uz,Ch 1,dārū arzān emes qımmatdur,"dori arzon emas, qimmatdir",chg,uz,phrase,4
Ch 1_29_tr,Ch 1,dārū arzān emes qımmatdur,"ilaç ucuz değil, pahalıdır",chg,tr,phrase,4
Ch 1_30_en,Ch 1,murç qızıl emes kökdür,pepper is not red it is green,chg,en,phrase,4
Ch 1_30_kk,Ch 1,murç qızıl emes kökdür,"бұрыш қызыл емес, жасыл",chg,kk,phrase,4
Ch 1_30_ru,Ch 1,murç qızıl emes kökdür,"перец не красный, он зеленый",chg,ru,phrase,4
Ch 1_30_uz,Ch 1,murç qızıl emes kökdür,"murch qizil emas, ko'kdir",chg,uz,phrase,4
Ch 1_30_tr,Ch 1,murç qızıl emes kökdür,"biber kırmızı değil, yeşildir",chg,tr,phrase,4
Ch 1_31_en,Ch 1,aş sawuq emes ıssıqdur,food is not cold it is hot,chg,en,phrase,4
Ch 1_31_kk,Ch 1,aş sawuq emes ıssıqdur,"ас суық емес, ыстық",chg,kk,phrase,4
Ch 1_31_ru,Ch 1,aş sawuq emes ıssıqdur,"еда не холодная, она горячая",chg,ru,phrase,4
Ch 1_31_uz,Ch 1,aş sawuq emes ıssıqdur,"ovqat sovuq emas, issiqdir",chg,uz,phrase,4
Ch 1_31_tr,Ch 1,aş sawuq emes ıssıqdur,"yemek soğuk değil, sıcaktır",chg,tr,phrase,4
Ch 1_33_en,Ch 1,aq süt,white milk,chg,en,phrase,2
Ch 1_33_kk,Ch 1,aq süt,ақ сүт,chg,kk,phrase,2
Ch 1_33_ru,Ch 1,aq süt,белое молоко,chg,ru,phrase,2
Ch 1_33_uz,Ch 1,aq süt,oq sut,chg,uz,phrase,2
Ch 1_33_tr,Ch 1,aq süt,beyaz süt,chg,tr,phrase,2
Ch 1_34_en,Ch 1,aq süt tatlıqdur,The white milk is tasty,chg,en,phrase,3
Ch 1_34_kk,Ch 1,aq süt tatlıqdur,ақ сүт дәмді,chg,kk,phrase,3
Ch 1_34_ru,Ch 1,aq süt tatlıqdur,белое молоко вкусное,chg,ru,phrase,3
Ch 1_34_uz,Ch 1,aq süt tatlıqdur,oq sut mazalidir,chg,uz,phrase,3
Ch 1_34_tr,Ch 1,aq süt tatlıqdur,beyaz süt lezzetlidir,chg,tr,phrase,3
Ch 1_36_en,Ch 1,aq qatıq,white yogurt,chg,en,phrase,2
Ch 1_36_kk,Ch 1,aq qatıq,ақ қатық,chg,kk,phrase,2
Ch 1_36_ru,Ch 1,aq qatıq,белый йогурт,chg,ru,phrase,2
Ch 1_36_uz,Ch 1,aq qatıq,oq qatiq,chg,uz,phrase,2
Ch 1_36_tr,Ch 1,aq qatıq,beyaz yoğurt,chg,tr,phrase,2
Ch 1_37_en,Ch 1,qızıl murç,red pepper,chg,en,phrase,2
Ch 1_37_kk,Ch 1,qızıl murç,қызыл бұрыш,chg,kk,phrase,2
Ch 1_37_ru,Ch 1,qızıl murç,красный перец,chg,ru,phrase,2
Ch 1_37_uz,Ch 1,qızıl murç,qizil murch,chg,uz,phrase,2
Ch 1_37_tr,Ch 1,qızıl murç,kırmızı biber,chg,tr,phrase,2
Ch 1_38_en,Ch 1,şirin qand,sweet sugar,chg,en,phrase,2
Ch 1_38_kk,Ch 1,şirin qand,тәтті қант,chg,kk,phrase,2
Ch 1_38_ru,Ch 1,şirin qand,сладкий сахар,chg,ru,phrase,2
Ch 1_38_uz,Ch 1,şirin qand,shirin qand,chg,uz,phrase,2
Ch 1_38_tr,Ch 1,şirin qand,tatlı şeker,chg,tr,phrase,2
Ch 1_39_en,Ch 1,qızıl reñ wa aq reñ,red color and white color,chg,en,sentence,5
Ch 1_39_kk,Ch 1,qızıl reñ wa aq reñ,қызыл түс пен ақ түс,chg,kk,sentence,5
Ch 1_39_ru,Ch 1,qızıl reñ wa aq reñ,красный цвет и белый цвет,chg,ru,sentence,5
Ch 1_39_uz,Ch 1,qızıl reñ wa aq reñ,qizil rang va oq rang,chg,uz,sentence,5
Ch 1_39_tr,Ch 1,qızıl reñ wa aq reñ,kırmızı renk ve beyaz renk,chg,tr,sentence,5
Ch 1_40_en,Ch 1,aq süt arzāndur,The white milk is cheap.,chg,en,phrase,3
Ch 1_40_kk,Ch 1,aq süt arzāndur,ақ сүт арзан,chg,kk,phrase,3
Ch 1_40_ru,Ch 1,aq süt arzāndur,белое молоко дешевое,chg,ru,phrase,3
Ch 1_40_uz,Ch 1,aq süt arzāndur,oq sut arzondir,chg,uz,phrase,3
Ch 1_40_tr,Ch 1,aq süt arzāndur,beyaz süt ucuzdur,chg,tr,phrase,3
Ch 1_42_en,Ch 1,qara çay wa kök çay yaḫşıdur,Black tea and green tea are good,chg,en,sentence,6
Ch 1_42_kk,Ch 1,qara çay wa kök çay yaḫşıdur,қара шай мен көк шай жақсы,chg,kk,sentence,6
Ch 1_42_ru,Ch 1,qara çay wa kök çay yaḫşıdur,черный чай и зеленый чай хорошие,chg,ru,sentence,6
Ch 1_42_uz,Ch 1,qara çay wa kök çay yaḫşıdur,qora choy va ko'k choy yaxshidir,chg,uz,sentence,6
Ch 1_42_tr,Ch 1,qara çay wa kök çay yaḫşıdur,siyah çay ve yeşil çay iyidir,chg,tr,sentence,6
Ch 1_43_en,Ch 1,qızıl mı̇̄wa qımmat ermes,The red fruit is not expensive.,chg,en,phrase,4
Ch 1_43_kk,Ch 1,qızıl mı̇̄wa qımmat ermes,қызыл жеміс қымбат емес,chg,kk,phrase,4
Ch 1_43_ru,Ch 1,qızıl mı̇̄wa qımmat ermes,красный фрукт не дорогой,chg,ru,phrase,4
Ch 1_43_uz,Ch 1,qızıl mı̇̄wa qımmat ermes,qizil meva qimmat emas,chg,uz,phrase,4
Ch 1_43_tr,Ch 1,qızıl mı̇̄wa qımmat ermes,kırmızı meyve pahalı değildir,chg,tr,phrase,4
Ch 1_44_en,Ch 1,aq qand wa qara çay yaḫşı dārū emesdür,White sugar and black tea are not good medicine.,chg,en,sentence,8
Ch 1_44_kk,Ch 1,aq qand wa qara çay yaḫşı dārū emesdür,ақ қант пен қара шай жақсы дәрі емес,chg,kk,sentence,8
Ch 1_44_ru,Ch 1,aq qand wa qara çay yaḫşı dārū emesdür,белый сахар и черный чай — не хорошее лекарство,chg,ru,sentence,8
Ch 1_44_uz,Ch 1,aq qand wa qara çay yaḫşı dārū emesdür,oq qand va qora choy yaxshi dori emasdir,chg,uz,sentence,8
Ch 1_44_tr,Ch 1,aq qand wa qara çay yaḫşı dārū emesdür,beyaz şeker ve siyah çay iyi ilaç değildir,chg,tr,sentence,8
Ch 1_46_en,Ch 1,tuz,salt,chg,en,word,1
Ch 1_46_kk,Ch 1,tuz,тұз,chg,kk,word,1
Ch 1_46_ru,Ch 1,tuz,соль,chg,ru,word,1
Ch 1_46_uz,Ch 1,tuz,tuz,chg,uz,word,1
Ch 1_46_tr,Ch 1,tuz,tuz,chg,tr,word,1
Ch 1_47_en,Ch 1,qand,sugar,chg,en,word,1
Ch 1_47_kk,Ch 1,qand,қант,chg,kk,word,1
Ch 1_47_ru,Ch 1,qand,сахар,chg,ru,word,1
Ch 1_47_uz,Ch 1,qand,qand,chg,uz,word,1
Ch 1_47_tr,Ch 1,qand,şeker,chg,tr,word,1
Ch 1_48_en,Ch 1,çay,tea,chg,en,word,1
Ch 1_48_kk,Ch 1,çay,шай,chg,kk,word,1
Ch 1_48_ru,Ch 1,çay,чай,chg,ru,word,1
Ch 1_48_uz,Ch 1,çay,choy,chg,uz,word,1
Ch 1_48_tr,Ch 1,çay,çay,chg,tr,word,1
Ch 1_49_en,Ch 1,muz,ice,chg,en,word,1
Ch 1_49_kk,Ch 1,muz,мұз,chg,kk,word,1
Ch 1_49_ru,Ch 1,muz,лед,chg,ru,word,1
Ch 1_49_uz,Ch 1,muz,muz,chg,uz,word,1
Ch 1_49_tr,Ch 1,muz,buz,chg,tr,word,1
Ch 1_50_en,Ch 1,süt,milk,chg,en,word,1
Ch 1_50_kk,Ch 1,süt,сүт,chg,kk,word,1
Ch 1_50_ru,Ch 1,süt,молоко,chg,ru,word,1
Ch 1_50_uz,Ch 1,süt,sut,chg,uz,word,1
Ch 1_50_tr,Ch 1,süt,süt,chg,tr,word,1
Ch 1_51_en,Ch 1,aş,rice,chg,en,word,1
Ch 1_51_kk,Ch 1,aş,күріш,chg,kk,word,1
Ch 1_51_ru,Ch 1,aş,рис,chg,ru,word,1
Ch 1_51_uz,Ch 1,aş,guruch,chg,uz,word,1
Ch 1_51_tr,Ch 1,aş,pirinç,chg,tr,word,1
Ch 1_52_en,Ch 1,şorpa,soup,chg,en,word,1
Ch 1_52_kk,Ch 1,şorpa,сорпа,chg,kk,word,1
Ch 1_52_ru,Ch 1,şorpa,суп,chg,ru,word,1
Ch 1_52_uz,Ch 1,şorpa,sho'rva,chg,uz,word,1
Ch 1_52_tr,Ch 1,şorpa,çorba,chg,tr,word,1
Ch 1_54_en,Ch 1,göşt,meat,chg,en,word,1
Ch 1_54_kk,Ch 1,göşt,ет,chg,kk,word,1
Ch 1_54_ru,Ch 1,göşt,мясо,chg,ru,word,1
Ch 1_54_uz,Ch 1,göşt,go'sht,chg,uz,word,1
Ch 1_54_tr,Ch 1,göşt,et,chg,tr,word,1
Ch 1_55_en,Ch 1,mı̇̄wa,fruit,chg,en,word,1
Ch 1_55_kk,Ch 1,mı̇̄wa,жеміс,chg,kk,word,1
Ch 1_55_ru,Ch 1,mı̇̄wa,фрукт,chg,ru,word,1
Ch 1_55_uz,Ch 1,mı̇̄wa,meva,chg,uz,word,1
Ch 1_55_tr,Ch 1,mı̇̄wa,meyve,chg,tr,word,1
Ch 1_56_en,Ch 1,tatlıq,tasty,chg,en,word,1
Ch 1_56_kk,Ch 1,tatlıq,дәмді,chg,kk,word,1
Ch 1_56_ru,Ch 1,tatlıq,вкусный,chg,ru,word,1
Ch 1_56_uz,Ch 1,tatlıq,mazali,chg,uz,word,1
Ch 1_56_tr,Ch 1,tatlıq,lezzetli,chg,tr,word,1
Ch 1_59_en,Ch 1,qara,black,chg,en,word,1
Ch 1_59_kk,Ch 1,qara,қара,chg,kk,word,1
Ch 1_59_ru,Ch 1,qara,черный,chg,ru,word,1
Ch 1_59_uz,Ch 1,qara,qora,chg,uz,word,1
Ch 1_59_tr,Ch 1,qara,siyah,chg,tr,word,1
Ch 1_62_en,Ch 1,aq,white,chg,en,word,1
Ch 1_62_kk,Ch 1,aq,ақ,chg,kk,word,1
Ch 1_62_ru,Ch 1,aq,белый,chg,ru,word,1
Ch 1_62_uz,Ch 1,aq,oq,chg,uz,word,1
Ch 1_62_tr,Ch 1,aq,beyaz,chg,tr,word,1
Ch 1_63_en,Ch 1,qımmat,expensive,chg,en,word,1
Ch 1_63_kk,Ch 1,qımmat,қымбат,chg,kk,word,1
Ch 1_63_ru,Ch 1,qımmat,дорогой,chg,ru,word,1
Ch 1_63_uz,Ch 1,qımmat,qimmat,chg,uz,word,1
Ch 1_63_tr,Ch 1,qımmat,pahalı,chg,tr,word,1
Ch 1_64_en,Ch 1,arzān,cheap,chg,en,word,1
Ch 1_64_kk,Ch 1,arzān,арзан,chg,kk,word,1
Ch 1_64_ru,Ch 1,arzān,дешевый,chg,ru,word,1
Ch 1_64_uz,Ch 1,arzān,arzon,chg,uz,word,1
Ch 1_64_tr,Ch 1,arzān,ucuz,chg,tr,word,1
Ch 1_65_en,Ch 1,qattıq,hard,chg,en,word,1
Ch 1_65_kk,Ch 1,qattıq,қатты,chg,kk,word,1
Ch 1_65_ru,Ch 1,qattıq,твердый,chg,ru,word,1
Ch 1_65_uz,Ch 1,qattıq,qattiq,chg,uz,word,1
Ch 1_65_tr,Ch 1,qattıq,sert,chg,tr,word,1
Ch 1_66_en,Ch 1,aççıq,bitter,chg,en,word,1
Ch 1_66_kk,Ch 1,aççıq,ащы,chg,kk,word,1
Ch 1_66_ru,Ch 1,aççıq,горький,chg,ru,word,1
Ch 1_66_uz,Ch 1,aççıq,achchiq,chg,uz,word,1
Ch 1_66_tr,Ch 1,aççıq,acı,chg,tr,word,1
Ch 1_67_en,Ch 1,aççıq,spicy,chg,en,word,1
Ch 1_67_ru,Ch 1,aççıq,острый,chg,ru,word,1
Ch 1_69_en,Ch 1,dārū,medicine,chg,en,word,1
Ch 1_69_kk,Ch 1,dārū,дәрі,chg,kk,word,1
Ch 1_69_ru,Ch 1,dārū,лекарство,chg,ru,word,1
Ch 1_69_uz,Ch 1,dārū,dori,chg,uz,word,1
Ch 1_69_tr,Ch 1,dārū,ilaç,chg,tr,word,1
Ch 1_70_en,Ch 1,reñ,color,chg,en,word,1
Ch 1_70_kk,Ch 1,reñ,түс,chg,kk,word,1
Ch 1_70_ru,Ch 1,reñ,цвет,chg,ru,word,1
Ch 1_70_uz,Ch 1,reñ,rang,chg,uz,word,1
Ch 1_70_tr,Ch 1,reñ,renk,chg,tr,word,1
Ch 1_72_en,Ch 1,qatıq,yogurt,chg,en,word,1
Ch 1_72_kk,Ch 1,qatıq,қатық,chg,kk,word,1
Ch 1_72_ru,Ch 1,qatıq,йогурт,chg,ru,word,1
Ch 1_72_uz,Ch 1,qatıq,qatiq,chg,uz,word,1
Ch 1_72_tr,Ch 1,qatıq,yoğurt,chg,tr,word,1
Ch 1_73_en,Ch 1,qızıl,red,chg,en,word,1
Ch 1_73_kk,Ch 1,qızıl,қызыл,chg,kk,word,1
Ch 1_73_ru,Ch 1,qızıl,красный,chg,ru,word,1
Ch 1_73_uz,Ch 1,qızıl,qizil,chg,uz,word,1
Ch 1_73_tr,Ch 1,qızıl,kırmızı,chg,tr,word,1
Ch 1_75_en,Ch 1,sawuq,cold,chg,en,word,1
Ch 1_75_kk,Ch 1,sawuq,суық,chg,kk,word,1
Ch 1_75_ru,Ch 1,sawuq,холодный,chg,ru,word,1
Ch 1_75_uz,Ch 1,sawuq,sovuq,chg,uz,word,1
Ch 1_75_tr,Ch 1,sawuq,soğuk,chg,tr,word,1
Ch 1_76_en,Ch 1,yañı,new,chg,en,word,1
Ch 1_76_kk,Ch 1,yañı,жаңа,chg,kk,word,1
Ch 1_76_ru,Ch 1,yañı,новый,chg,ru,word,1
Ch 1_76_uz,Ch 1,yañı,yangi,chg,uz,word,1
Ch 1_76_tr,Ch 1,yañı,yeni,chg,tr,word,1
Ch 1_77_en,Ch 1,kök,blue,chg,en,word,1
Ch 1_77_kk,Ch 1,kök,көк,chg,kk,word,1
Ch 1_77_ru,Ch 1,kök,синий,chg,ru,word,1
Ch 1_77_uz,Ch 1,kök,ko'k,chg,uz,word,1
Ch 1_77_tr,Ch 1,kök,mavi,chg,tr,word,1
Ch 1_78_en,Ch 1,kök,green,chg,en,word,1
Ch 1_78_kk,Ch 1,kök,жасыл,chg,kk,word,1
Ch 1_78_ru,Ch 1,kök,зеленый,chg,ru,word,1
Ch 1_78_uz,Ch 1,kök,yashil,chg,uz,word,1
Ch 1_78_tr,Ch 1,kök,yeşil,chg,tr,word,1
Ch 1_79_kk,Ch 1,dur,-ды/-ді,chg,kk,word,1
Ch 1_79_tr,Ch 1,dur,-dır,chg,tr,word,1
Ch 2_2_en,Ch 2,çay bar,There is tea,chg,en,phrase,2
Ch 2_2_kk,Ch 2,çay bar,шай бар,chg,kk,phrase,2
Ch 2_2_ru,Ch 2,çay bar,есть чай,chg,ru,phrase,2
Ch 2_2_uz,Ch 2,çay bar,choy bor,chg,uz,phrase,2
Ch 2_2_tr,Ch 2,çay bar,çay var,chg,tr,phrase,2
Ch 2_3_en,Ch 2,çoñ buqa bar,There is a big bull,chg,en,phrase,3
Ch 2_3_kk,Ch 2,çoñ buqa bar,үлкен бұқа бар,chg,kk,phrase,3
Ch 2_3_ru,Ch 2,çoñ buqa bar,есть большой бык,chg,ru,phrase,3
Ch 2_3_uz,Ch 2,çoñ buqa bar,katta buqa bor,chg,uz,phrase,3
Ch 2_3_tr,Ch 2,çoñ buqa bar,büyük boğa var,chg,tr,phrase,3
Ch 2_4_en,Ch 2,çoñ buqa bar,There is a large bull,chg,en,phrase,3
Ch 2_7_en,Ch 2,kiçik ḫoraz wa çoñ inek,little rooster and big cow,chg,en,sentence,5
Ch 2_7_kk,Ch 2,kiçik ḫoraz wa çoñ inek,кішкентай қораз және үлкен сиыр,chg,kk,sentence,5
Ch 2_7_ru,Ch 2,kiçik ḫoraz wa çoñ inek,маленький петух и большая корова,chg,ru,sentence,5
Ch 2_7_uz,Ch 2,kiçik ḫoraz wa çoñ inek,kichik xo‘roz va katta sigir,chg,uz,sentence,5
Ch 2_7_tr,Ch 2,kiçik ḫoraz wa çoñ inek,küçük horoz ve büyük inek,chg,tr,sentence,5
Ch 2_12_en,Ch 2,Pul bar,There is money,chg,en,phrase,2
Ch 2_12_kk,Ch 2,Pul bar,Ақша бар,chg,kk,phrase,2
Ch 2_12_ru,Ch 2,Pul bar,Есть деньги,chg,ru,phrase,2
Ch 2_12_uz,Ch 2,Pul bar,Pul bor,chg,uz,phrase,2
Ch 2_12_tr,Ch 2,Pul bar,Para var,chg,tr,phrase,2
Ch 2_13_en,Ch 2,Pul bar,I have money,chg,en,phrase,2
Ch 2_13_ru,Ch 2,Pul bar,У меня есть деньги,chg,ru,phrase,2
Ch 2_13_tr,Ch 2,Pul bar,Param var,chg,tr,phrase,2
Ch 2_14_en,Ch 2,Pul bar,Money exists,chg,en,phrase,2
Ch 2_14_ru,Ch 2,Pul bar,Деньги есть,chg,ru,phrase,2
Ch 2_14_tr,Ch 2,Pul bar,Para mevcuttur,chg,tr,phrase,2
Ch 2_15_en,Ch 2,Pul bar,There exists money,chg,en,phrase,2
Ch 2_15_ru,Ch 2,Pul bar,Существуют деньги,chg,ru,phrase,2
Ch 2_15_tr,Ch 2,Pul bar,Para vardır,chg,tr,phrase,2
Ch 2_18_en,Ch 2,qızıl göşt bardur,There is red meat,chg,en,phrase,3
Ch 2_18_kk,Ch 2,qızıl göşt bardur,қызыл ет бар,chg,kk,phrase,3
Ch 2_18_ru,Ch 2,qızıl göşt bardur,есть красное мясо,chg,ru,phrase,3
Ch 2_18_uz,Ch 2,qızıl göşt bardur,qizil go‘sht bordir,chg,uz,phrase,3
Ch 2_18_tr,Ch 2,qızıl göşt bardur,kırmızı et vardır,chg,tr,phrase,3
