sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 1,30,مرچ قزل ایماس کوک دور,murç qızıl emes kökdür,pepper is not red it is green,"бұрыш қызыл емес, жасыл","перец не красный, он зеленый","murch qizil emas, ko'kdir","biber kırmızı değil, yeşildir",murç qızıl emes kökdür,chg,phrase,4,
Ch 1,31,آش ساوق ایماس ایسیق دور,aş sawuq emes ıssıqdur,food is not cold it is hot,"ас суық емес, ыстық","еда не холодная, она горячая","ovqat sovuq emas, issiqdir","yemek soğuk değil, sıcaktır",aş sawuq emes ıssıqdur,chg,phrase,4,
Ch 1,32,سوت اق دور,süt aqdur,Milk is white,сүт ақ,молоко белое,sut oqdir,süt beyazdır,süt aqdur,chg,phrase,2,
Ch 1,33,اق سوت,aq süt,white milk,ақ сүт,белое молоко,oq sut,beyaz süt,aq süt,chg,phrase,2,
Ch 1,34,اق سوت تاتلیق دور,aq süt tatlıqdur,The white milk is tasty,ақ сүт дәмді,белое молоко вкусное,oq sut mazalidir,beyaz süt lezzetlidir,aq süt tatlıqdur,chg,phrase,3,
Ch 1,35,اچیق دارو یخشي دارو ایماس,aççıq dārū yaḫşı dārū emes,Bitter medicine is not good medicine.,ащы дәрі жақсы дәрі емес,горькое лекарство — не хорошее лекарство,achchiq dori yaxshi dori emas,acı ilaç iyi ilaç değildir,aççıq dārū yaḫşı dārū emes,chg,sentence,5,
Ch 1,36,اق قتق,aq qatıq,white yogurt,ақ қатық,белый йогурт,oq qatiq,beyaz yoğurt,aq qatıq,chg,phrase,2,
Ch 1,37,قزل مرچ,qızıl murç,red pepper,қызыл бұрыш,красный перец,qizil murch,kırmızı biber,qızıl murç,chg,phrase,2,
Ch 1,38,شیرین قند,şirin qand,sweet sugar,тәтті қант,сладкий сахар,shirin qand,tatlı şeker,şirin qand,chg,phrase,2,
Ch 1,39,قیزیل رنک و اق رنک,qızıl reñ wa aq reñ,red color and white color,қызыл түс пен ақ түс,красный цвет и белый цвет,qizil rang va oq rang,kırmızı renk ve beyaz renk,qızıl reñ wa aq reñ,chg,sentence,5,
Ch 1,40,اق سوت ارزان دور,aq süt arzāndur,The white milk is cheap.,ақ сүт арзан,белое молоко дешевое,oq sut arzondir,beyaz süt ucuzdur,aq süt arzāndur,chg,phrase,3,
Ch 1,41,ایسیق چاى تاتلیقدور,ıssıq çay tatlıqdur,The hot tea is tasty.,ыстық шай дәмді,горячий чай вкусный,issiq choy mazalidir,sıcak çay lezzetlidir,ıssıq çay tatlıqdur,chg,phrase,3,
Ch 1,42,قرا چاى و کوک چاى یخشی دور,qara çay wa kök çay yaḫşıdur,Black tea and green tea are good,қара шай мен көк шай жақсы,черный чай и зеленый чай хорошие,qora choy va ko'k choy yaxshidir,siyah çay ve yeşil çay iyidir,qara çay wa kök çay yaḫşıdur,chg,sentence,6,
Ch 1,43,قیزیل میوه قیمت ایرماس,qızıl mı̇̄wa qımmat ermes,The red fruit is not expensive.,қызыл жеміс қымбат емес,красный фрукт не дорогой,qizil meva qimmat emas,kırmızı meyve pahalı değildir,qızıl mı̇̄wa qımmat ermes,chg,phrase,4,
Ch 1,44,اق قند و قرا چاى یخش دارو ایماس دور,aq qand wa qara çay yaḫşı dārū emesdür,White sugar and black tea are not good medicine.,ақ қант пен қара шай жақсы дәрі емес,белый сахар и черный чай — не хорошее лекарство,oq qand va qora choy yaxshi dori emasdir,beyaz şeker ve siyah çay iyi ilaç değildir,aq qand wa qara çay yaḫşı dārū emesdür,chg,sentence,8,
Ch 1,45,نان,nān,bread,нан,хлеб,non,ekmek,nān,chg,word,1,
Ch 1,46,توز,tuz,salt,тұз,соль,tuz,tuz,tuz,chg,word,1,
Ch 1,47,قند,qand,sugar,қант,сахар,qand,şeker,qand,chg,word,1,
Ch 1,48,چای,çay,tea,шай,чай,choy,çay,çay,chg,word,1,
Ch 1,49,موز,muz,ice,мұз,лед,muz,buz,muz,chg,word,1,
Ch 1,50,سوت,süt,milk,сүт,молоко,sut,süt,süt,chg,word,1,
Ch 1,51,اش,aş,rice,күріш,рис,guruch,pirinç,aş,chg,word,1,
Ch 1,52,شورپا,şorpa,soup,сорпа,суп,sho'rva,çorba,şorpa,chg,word,1,
Ch 1,53,مرچ,murç,pepper,бұрыш,перец,murch,biber,murç,chg,word,1,
Ch 1,54,گوشت,göşt,meat,ет,мясо,go'sht,et,göşt,chg,word,1,
Ch 1,55,میوه,mı̇̄wa,fruit,жеміс,фрукт,meva,meyve,mı̇̄wa,chg,word,1,
Ch 1,56,تاتلیق,tatlıq,tasty,дәмді,вкусный,mazali,lezzetli,tatlıq,chg,word,1,
Ch 1,57,یخشی,yaḫşı,good,жақсы,хороший,yaxshi,iyi,yaḫşı,chg,word,1,
Ch 1,58,شیرین,şirin,sweet,тәтті,сладкий,shirin,tatlı,şirin,chg,word,1,
Ch 1,59,قرا,qara,black,қара,черный,qora,siyah,qara,chg,word,1,
Ch 1,60,ایماس,emes,is not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,61,ایماس,emes,are not,емес,не,emas,değil,emes,chg,word,1,
Ch 1,62,اق,aq,white,ақ,белый,oq,beyaz,aq,chg,word,1,
Ch 1,63,قیمت,qımmat,expensive,қымбат,дорогой,qimmat,pahalı,qımmat,chg,word,1,
Ch 1,64,ارزان,arzān,cheap,арзан,дешевый,arzon,ucuz,arzān,chg,word,1,
Ch 1,65,قاتیق,qattıq,hard,қатты,твердый,qattiq,sert,qattıq,chg,word,1,
Ch 1,66,اچیق,aççıq,bitter,ащы,горький,achchiq,acı,aççıq,chg,word,1,
Ch 1,67,اچیق,aççıq,spicy,ащы,острый,achchiq,acı,aççıq,chg,word,1,
Ch 1,68,و,wa,and,және,и,va,ve,wa,chg,word,1,
Ch 1,69,دارو,dārū,medicine,дәрі,лекарство,dori,ilaç,dārū,chg,word,1,
Ch 1,70,رنک,reñ,color,түс,цвет,rang,renk,reñ,chg,word,1,
Ch 1,71,پُل,pul,money,ақша,деньги,pul,para,pul,chg,word,1,
Ch 1,72,قتق,qatıq,yogurt,қатық,йогурт,qatiq,yoğurt,qatıq,chg,word,1,
Ch 1,73,قزل,qızıl,red,қызыл,красный,qizil,kırmızı,qızıl,chg,word,1,
Ch 1,74,ایسیق,ıssıq,hot,ыстық,горячий,issiq,sıcak,ıssıq,chg,word,1,
Ch 1,75,ساوق,sawuq,cold,суық,холодный,sovuq,soğuk,sawuq,chg,word,1,
Ch 1,76,ینكي,yañı,new,жаңа,новый,yangi,yeni,yañı,chg,word,1,
Ch 1,77,کوک,kök,blue,көк,синий,ko'k,mavi,kök,chg,word,1,
Ch 1,78,کوک,kök,green,жасыл,зеленый,yashil,yeşil,kök,chg,word,1,
Ch 1,79,دور,dur,is,-ды/-ді,есть,dir,-dır,dur,chg,word,1,
Ch 1,80,دور,dur,are,-ды/-ді,есть,dir,-dır,dur,chg,word,1,
Ch 2,0,,Kök çay yaḫşıdur,Green tea is good,Көк шай жақсы,Зеленый чай хороший,Ko‘k choy yaxshidir,Yeşil çay iyidir,Kök çay yaḫşıdur,chg,phrase,3,کوک چاى يخشي دور
Ch 2,1,,Buqa dost émes,A bull is not a friend,Бұқа дос емес,Бык — не друг,Buqa do‘st emas,Boğa dost değildir,Buqa dost émes,chg,phrase,3,بوقا دوست ايماس
Ch 2,2,,çay bar,There is tea,шай бар,есть чай,choy bor,çay var,çay bar,chg,phrase,2,چاى بار
Ch 2,3,,çoñ buqa bar,There is a big bull,үлкен бұқа бар,есть большой бык,katta buqa bor,büyük boğa var,çoñ buqa bar,chg,phrase,3,چونک بوقا بار
Ch 2,4,,çoñ buqa bar,There is a large bull,үлкен бұқа бар,есть большой бык,katta buqa bor,büyük boğa var,çoñ buqa bar,chg,phrase,3,چونک بوقا بار
Ch 2,5,,wa,and,және,и,va,ve,wa,chg,word,1,و
Ch 2,6,,nān wa çay,bread and tea,нан мен шай,хлеб и чай,non va choy,ekmek ve çay,nān wa çay,chg,phrase,3,نان و چاى
Ch 2,7,,kiçik ḫoraz wa çoñ inek,little rooster and big cow,кішкентай қораз және үлкен сиыр,маленький петух и большая корова,kichik xo‘roz va katta sigir,küçük horoz ve büyük inek,kiçik ḫoraz wa çoñ inek,chg,sentence,5,کچيک خوراز و چونک ايناک
Ch 2,8,,ér wa maẓlūm,man and woman,ер және әйел,мужчина и женщина,er va ayol,erkek ve kadın,ér wa maẓlūm,chg,phrase,3,اير و مظلوم
Ch 2,9,,bar,there is,бар,есть,bor,var,bar,chg,word,1,بار
Ch 2,10,,bar,there exists,бар,существует,bor,mevcut,bar,chg,word,1,بار
Ch 2,11,,bardur,there is,бар,есть,bordir,vardır,bardur,chg,word,1,باردور
Ch 2,12,,Pul bar,There is money,Ақша бар,Есть деньги,Pul bor,Para var,Pul bar,chg,phrase,2,پُل بار
Ch 2,13,,Pul bar,I have money,Ақша бар,У меня есть деньги,Pul bor,Param var,Pul bar,chg,phrase,2,پُل بار
Ch 2,14,,Pul bar,Money exists,Ақша бар,Деньги есть,Pul bor,Para mevcuttur,Pul bar,chg,phrase,2,پُل بار
Ch 2,15,,Pul bar,There exists money,Ақша бар,Существуют деньги,Pul bor,Para vardır,Pul bar,chg,phrase,2,پُل بار
Ch 2,16,,qatıq bar,There is yogurt,қатық бар,есть катык,qatiq bor,katık var,qatıq bar,chg,phrase,2,قتق بار
Ch 2,17,,arzān dārū bar,There is cheap medicine,арзан дәрі бар,есть дешевое лекарство,arzon dori bor,ucuz ilaç var,arzān dārū bar,chg,phrase,3,آرزان دارو بار
Ch 2,18,,qızıl göşt bardur,There is red meat,қызыл ет бар,есть красное мясо,qizil go‘sht bordir,kırmızı et vardır,qızıl göşt bardur,chg,phrase,3,قزل گوشت باردور
Ch 2,19,,çoñ inek bar,There is a large cow,үлкен сиыр бар,есть большая корова,katta sigir bor,büyük inek var,çoñ inek bar,chg,phrase,3,چونک اينک بار
Ch 2,20,,Maẓlūm kişi bar,There is a woman,Әйел адам бар,Есть женщина,Ayol kishi bor,Kadın kişi var,Maẓlūm kişi bar,chg,phrase,3,مظلوم کيشي بار
Ch 2,21,,Kiçik bala bardur,There is a small child,Кішкентай бала бар,Есть маленький ребенок,Kichik bola bordir,Küçük çocuk vardır,Kiçik bala bardur,chg,phrase,3,کچيک بلا باردور
Ch 2,22,,bir ādam bar,Someone is there,бір адам бар,есть кто-то,bir odam bor,bir adam var,bir ādam bar,chg,phrase,3,بر آدم بار
Ch 2,23,,çoñ buqa wa bir ḫoraz bar,There are a large bull and a rooster,үлкен бұқа және бір қораз бар,есть большой бык и один петух,katta buqa va bir xo‘roz bor,büyük boğa ve bir horoz var,çoñ buqa wa bir ḫoraz bar,chg,sentence,6,چونک بوقا و بر خوراز بار
Ch 2,24,,yoq,there is no,жоқ,нет,yo‘q,yok,yoq,chg,word,1,يوق
Ch 2,25,,yoq,there exists not,жоқ,не существует,yo‘q,mevcut değil,yoq,chg,word,1,يوق
Ch 2,26,,Pul yoq,There is no money,Ақша жоқ,Денег нет,Pul yo‘q,Para yok,Pul yoq,chg,phrase,2,پُل يوق
Ch 2,27,,Yañı mı̇̄wa yoq,There is no new fruit,Жаңа жеміс жоқ,Нет новых фруктов,Yangi meva yo‘q,Yeni meyve yok,Yañı mı̇̄wa yoq,chg,phrase,3,ينکی ميوە يوق
Ch 2,28,,Issıq suw yoqdur,There is no hot water,Ыстық су жоқ,Нет горячей воды,Issiq suv yo‘qdir,Sıcak su yoktur,Issıq suw yoqdur,chg,phrase,3,ايسّيق سو يوقدور
Ch 2,29,,Göşt yoq,There is no meat,Ет жоқ,Мяса нет,Go‘sht yo‘q,Et yok,Göşt yoq,chg,phrase,2,گوشت يوق
Ch 2,30,,çay şı̇̄rı̇̄n émes,The tea is not sweet,шай тәтті емес,чай не сладкий,choy shirin emas,çay tatlı değil,çay şı̇̄rı̇̄n émes,chg,phrase,3,چاى شيرين ايماس
Ch 2,31,,Uşbu inek dost émes,This cow here is not a friend,Мына сиыр дос емес,Эта корова — не друг,Ushbu sigir do‘st emas,Bu inek dost değildir,Uşbu inek dost émes,chg,phrase,4,اوشبو اينک دوست ايماس
Ch 2,32,,Mı̇̄wa göşt émes,Fruit is not meat,Жеміс ет емес,Фрукт — не мясо,Meva go‘sht emas,Meyve et değildir,Mı̇̄wa göşt émes,chg,phrase,3,ميوە گوشت ايماس
Ch 2,33,,şı̇̄rı̇̄n çay yoq,There is no sweet tea,тәтті шай жоқ,нет сладкого чая,shirin choy yo‘q,tatlı çay yok,şı̇̄rı̇̄n çay yoq,chg,phrase,3,شيرين چاى يوق
Ch 2,34,,O inekde dost yoq,That cow has no friends,Ол сиырда дос жоқ,У той коровы нет друзей,U sigirda do‘st yo‘q,O inekte dost yok,O inekde dost yoq,chg,phrase,4,او اينک دە دوست يوق
Ch 2,35,,bu,this,бұл,этот,bu,bu,bu,chg,word,1,بو
Ch 2,36,,ol,that,ол,тот,u,o,ol,chg,word,1,اول
Ch 2,37,,ol,that,ол,тот,u,o,ol,chg,word,1,اول
Ch 2,38,,şu,this,осы,этот,shu,şu,şu,chg,word,1,شو
Ch 2,39,,şol,this,сол,тот,shul,şu,şol,chg,word,1,شول
Ch 2,40,,uşbu,just this,мынау,именно этот,ushbu,işbu,uşbu,chg,word,1,اوشبو
Ch 2,41,,uşbu,this in particular,мынау,этот самый,ushbu,bu,uşbu,chg,word,1,اوشبو
Ch 2,42,,uşol,just that,анау,именно тот,o‘shal,o,uşol,chg,word,1,اوشول
Ch 2,43,,uşol,that in particular,анау,тот самый,o‘shal,o,uşol,chg,word,1,اوشول
Ch 2,44,,bir,one,бір,один,bir,bir,bir,chg,word,1,بر
Ch 2,45,,bir,a,бір,некий,bir,bir,bir,chg,word,1,بر
Ch 2,46,,bu mākiyān,this hen,бұл тауық,эта курица,bu makiyon,bu tavuk,bu mākiyān,chg,phrase,2,بو مکيان
Ch 2,47,,ol kişi,that person,ол кісі,тот человек,ul kishi,o kişi,ol kişi,chg,phrase,2,اول کيشي
Ch 2,48,,Bu üydür,This is a house,Бұл — үй,Это дом,Bu uydir,Bu evdir,Bu üydür,chg,phrase,2,بو اوى دور
Ch 2,49,,şol üyde ādam bar,In this house there is a man,сол үйде адам бар,в этом доме есть человек,shu uyda odam bor,şu evde adam var,şol üyde ādam bar,chg,phrase,4,شول اويدە آدم بار
Ch 2,50,,uşbu kitāb,this book,мына кітап,эта книга,ushbu kitob,bu kitap,uşbu kitāb,chg,phrase,2,اوشبو کتاب
Ch 2,51,,uşol bala,that child,сол бала,тот ребенок,o‘shal bola,şu çocuk,uşol bala,chg,phrase,2,اوشول بلا
Ch 2,52,,bir cānwār,an animal,бір жануар,одно животное,bir jonivor,bir hayvan,bir cānwār,chg,phrase,2,بر جانور
Ch 2,53,,cānwār,an animal,жануар,животное,jonivor,hayvan,cānwār,chg,word,1,جانور
Ch 2,54,,bu cānwār,this animal,бұл жануар,это животное,bu jonivor,bu hayvan,bu cānwār,chg,phrase,2,بو جانور
Ch 2,55,,yolda,on the road,жолда,на дороге,yo‘lda,yolda,yolda,chg,word,1,يولدە
Ch 2,56,,üyde süt yoq,There is no milk in the house,үйде сүт жоқ,в доме нет молока,uyda sut yo‘q,evde süt yok,üyde süt yoq,chg,phrase,3,اوىدە سوت يوق
Ch 2,57,,Maẓlūmda éşek bar,the woman has a donkey,Әйелде есек бар,У женщины есть осёл,Ayolda eshak bor,Kadında eşek var,Maẓlūmda éşek bar,chg,phrase,3,مظلوم دە ايشاک بار
Ch 2,58,,üyde bala bar,There is a child in the room,үйде бала бар,в доме есть ребенок,uyda bola bor,evde çocuk var,üyde bala bar,chg,phrase,3,اويدە بلا بار
Ch 2,59,,Bu üyde kişi yoq,There is no one in this house,Бұл үйде кісі жоқ,В этом доме никого нет,Bu uyda kishi yo‘q,Bu evde kimse yok,Bu üyde kişi yoq,chg,phrase,4,بو اويدە کيشي يوق
Ch 2,60,,Bu üyde kişi yoq,There is no person in this house,Бұл үйде кісі жоқ,В этом доме нет человека,Bu uyda kishi yo‘q,Bu evde kişi yok,Bu üyde kişi yoq,chg,phrase,4,بو اويدە کيشي يوق
Ch 2,61,,Uşol kitābda bir inek bar,There is a cow in this book,Сол кітапта бір сиыр бар,В той книге есть корова,O‘shal kitobda bir sigir bor,O kitapta bir inek var,Uşol kitābda bir inek bar,chg,sentence,5,اوشول کتاب دە بر اينک بار
Ch 2,62,,Ol yerde ér kişi bardur,There are men at that place,Ол жерде ер адам бар,В том месте есть мужчина,Ul yerda er kishi bordir,O yerde erkek kişi vardır,Ol yerde ér kişi bardur,chg,sentence,5,اول يردە اير کيشي باردور
Ch 2,63,,Göşt uşol yerde yoq,There is no meat at that place,Ет ол жерде жоқ,Мяса в том месте нет,Go‘sht o‘shal yerda yo‘q,Et o yerde yok,Göşt uşol yerde yoq,chg,phrase,4,گوشت اوشول يردە يوق
Ch 2,64,,şol maẓlūmda buqa yoq,This woman has no bull,сол әйелде бұқа жоқ,у той женщины нет быка,shu ayolda buqa yo‘q,şu kadında boğa yok,şol maẓlūmda buqa yoq,chg,phrase,4,شول مظلومدە بوقا يوق
Ch 2,65,,Ol ādam wa maẓlūm kişi uşbu yerdedür,That man and woman are in this place right here,Ол адам мен әйел осы жерде,Тот мужчина и женщина находятся здесь,Ul odam va ayol kishi ushbu yerdadir,O adam ve kadın bu yerdédir,Ol ādam wa maẓlūm kişi uşbu yerdedür,chg,sentence,7,اول آدم و مظلوم کيشي اوشبو يردەدور
Ch 2,66,,Toḫta üyde,Toḫta is in a house,Тоқта үйде,Тохта в доме,To‘xta uyda,Tohta evde,Toḫta üyde,chg,phrase,2,توختە اويدە
Ch 2,67,,Toḫta üyde,Toḫta is in the house,Тоқта үйде,Тохта находится в доме,To‘xta uyda,Tohta evdédir,Toḫta üyde,chg,phrase,2,توختە اويدە
Ch 2,68,,Bu cānwār buqadur,This animal is a bull,Бұл жануар — бұқа,Это животное — бык,Bu jonivor buqadir,Bu hayvan boğadır,Bu cānwār buqadur,chg,phrase,3,بو جانور بوقادور
Ch 2,69,,şol buqa üyde émes,This bull is not in the house,сол бұқа үйде емес,этот бык не в доме,shu buqa uyda emas,şu boğa evde değil,şol buqa üyde émes,chg,phrase,4,شول بوقا اويدە ايماس
Ch 2,70,,Toḫta bar,Toḫta is around,Тоқта бар,Тохта здесь,To‘xta bor,Tohta var,Toḫta bar,chg,phrase,2,توختە بار
Ch 2,71,,Uşbu kitābda Toḫta yoq,There is no Toḫta in this book,Мына кітапта Тоқта жоқ,В этой книге нет Тохты,Ushbu kitobda To‘xta yo‘q,Bu kitapta Tohta yok,Uşbu kitābda Toḫta yoq,chg,phrase,4,اوشبو کتاب دە توختە يوق
Ch 2,72,,Uşbu kitābda Toḫta yoq,Toḫta is not in this book,Мына кітапта Тоқта жоқ,В этой книге нет Тохты,Ushbu kitobda To‘xta yo‘q,Bu kitapta Tohta yok,Uşbu kitābda Toḫta yoq,chg,phrase,4,اوشبو کتاب دە توختە يوق
Ch 2,73,,Toḫta uşbu kitābda émes,Toḫta is not in this book,Тоқта мына кітапта емес,Тохта не в этой книге,To‘xta ushbu kitobda emas,Tohta bu kitapta değil,Toḫta uşbu kitābda émes,chg,phrase,4,توختە اوشبو کتاب دە ايماس
Ch 2,74,,yoq,there is no,жоқ,нет,yo‘q,yok,yoq,chg,word,1,يوق
Ch 2,75,,ol,that,ол,тот,ul,o,ol,chg,word,1,اول
Ch 2,76,,şu,this,осы,этот,shu,şu,şu,chg,word,1,شو
Ch 2,77,,şol,this,сол,тот,shul,şu,şol,chg,word,1,شول
Ch 2,78,,bir,one,бір,один,bir,bir,bir,chg,word,1,بر
Ch 2,79,,kişi,person,кісі,человек,kishi,kişi,kişi,chg,word,1,کيشي
Ch 2,80,,dost,friend,дос,друг,do‘st,dost,dost,chg,word,1,دوست
Ch 2,81,,érkek,male,еркек,самец,erkak,erkek,érkek,chg,word,1,ايرکک
Ch 2,82,,érkek,male person,еркек,мужчина,erkak,erkek kişi,érkek,chg,word,1,ايرکک
Ch 2,83,,érkek,male animal,еркек,самец животного,erkak,erkek hayvan,érkek,chg,word,1,ايرکک
Ch 2,84,,ér,man,ер,мужчина,er,er,ér,chg,word,1,اير
Ch 2,85,,ér,husband,ер,муж,er,koca,ér,chg,word,1,اير
Ch 2,86,,cānwār,animal,жануар,животное,jonivor,hayvan,cānwār,chg,word,1,جانور
Ch 2,87,,kiçik,small,кішкентай,маленький,kichik,küçük,kiçik,chg,word,1,کچيک
Ch 2,88,,mākiyān,hen,тауық,курица,makiyon,tavuk,mākiyān,chg,word,1,مکيان
Ch 2,89,,maẓlūm,woman,әйел,женщина,ayol,kadın,maẓlūm,chg,word,1,مظلوم
Ch 2,90,,kitāb,book,кітап,книга,kitob,kitap,kitāb,chg,word,1,کتاب
Ch 2,91,,bar,there is,бар,есть,bor,var,bar,chg,word,1,بار
Ch 2,92,,bu,this,бұл,этот,bu,bu,bu,chg,word,1,بو
Ch 2,93,,uşbu,this,мына,этот,ushbu,bu,uşbu,chg,word,1,اوشبو
Ch 2,94,,tişi,female,ұрғашы,самка,tishi,dişi,tişi,chg,word,1,تيشي
Ch 2,95,,tişi,female animal,ұрғашы,самка животного,tishi,dişi hayvan,tişi,chg,word,1,تيشي
Ch 2,96,,ādam,man,адам,человек,odam,adam,ādam,chg,word,1,آدم
Ch 2,97,,ādam,person,адам,персона,odam,kişi,ādam,chg,word,1,آدم
Ch 2,98,,bala,child,бала,ребенок,bola,çocuk,bala,chg,word,1,بلا
Ch 2,99,,buqa,bull,бұқа,бык,buqa,boğa,buqa,chg,word,1,بوقا
Ch 2,100,,ḫorus,rooster,қораз,петух,xo‘roz,horoz,ḫorus,chg,word,1,خروس
Ch 2,101,,ḫoraz,rooster,қораз,петух,xo‘roz,horoz,ḫoraz,chg,word,1,خوراز
Ch 2,102,,inek,cow,сиыр,корова,sigir,inek,inek,chg,word,1,اينک
Ch 2,103,,çoñ,large,үлкен,большой,cho‘ng,büyük,çoñ,chg,word,1,چونک
Ch 2,104,,üy,house,үй,дом,uy,ev,üy,chg,word,1,اوى
Ch 2,105,,üy,room,үй,комната,uy,oda,üy,chg,word,1,اوى
